"No.","Zone Name","Zone Channel Member","A Channel","B Channel"
"1","E-LAN","SL5ZYT TS1|SL5ZYT TS2|SK5BN RV48|SK5BN RU368|SK5AS RV59|SK5RYG-2M TS2|SK5RYG 2M TS2|SM5DWC TS2 LNK|SK5RYG TS2|SK5BN Simplex-D|SK5BN 275|550","SL5ZYT TS2","SK5BN RV48"
"2","SL5ZYT","SL5ZYT SVERIGE|SL5ZYT SM1|SL5ZYT SM2|SL5ZYT SM3|SL5ZYT SM4|SL5ZYT SM5|SL5ZYT SM6|SL5ZYT SM7|SL5ZYT LOKAL|SL5ZYT CLUSTER|SK5BN Simplex-D|SK5BN RV48|SK5AS RV59","SL5ZYT SM5","SL5ZYT SVERIGE"
"3","STHLM","STO CITY TS1|STO CITY TS2|KISTA TS1|KISTA TS2|BOTKYRKA TS1|BOTKYRKA TS2|BOTKYRKA 2M TS1|BOTKYRKA 2M TS2|SK0UX 2M TS1|SK0UX 2M TS2|SL0ZS Vestberga|SM0YIX Soder|SK0ZA Solna|SK0PQ Kista|SK0CT Kista|SM0MMO Tullinge","STO CITY TS1","STO CITY TS1"
"4","SLASK","MBR 32|MBR 33|MRB 34|Kola 1|Kola 2|OST T|M8-K5|Varmeverket|Gota kannal","MBR 32","MBR 33"
"5","FRO","FRO 59SD|433.3125SD|433.425SD|FRO DMR S|156.000|FRO R02D_240|FRO R02D_REG4|FRO R02D_D_LAEN|FRO R02A|FRO 64R-1|FRO 48RD|FRO 46R|FRO 65R|FRO 66R|FRO TG1|FRO 240 Riks|FRO Region 4|FRO 43|FRO 59S|FRONET TS1|FRONET TS2|FRO 48R DMR|FRO 48R UHF|FRO 64R|FRO 48SD NO USE","FRO 59SD","FRO 59SD"
"6","JAKT","JAKT K01|JAKT K02|JAKT K03|JAKT K04|JAKT K05|JAKT K06|JAKT K07","JAKT K01","JAKT K01"
"7","MARINE VHF","VHF K00|VHF K01|VHF K02|VHF K03|VHF K04|VHF K05|VHF K06|VHF K07|VHF K08|VHF K09|VHF K10|VHF K11|VHF K12|VHF K13|VHF K14|VHF K15|VHF K16|VHF K17|VHF K18|VHF K19|VHF K20|VHF K21|VHF K22|VHF K23|VHF K24|VHF K25|VHF K26|VHF K27|VHF K28|VHF K60|VHF K61|VHF K62|VHF K63|VHF K64|VHF K65|VHF K66|VHF K67|VHF K68|VHF K69|VHF K70|VHF K71|VHF K72|VHF K73|VHF K74|VHF K75|VHF K76|VHF K77|VHF K78|VHF K79|VHF K80|VHF K81|VHF K82|VHF K83|VHF K84|VHF K85|VHF K86|VHF K87|VHF K88|VHF L1|VHF L2|VHF L3|VHF F1|VHF F2|VHF F3","VHF K00","VHF K00"
"8","PMR SRBR","PMR K1|PMR K2|PMR K3|PMR K4|PMR K5|PMR K6|PMR K7|PMR K8|SRBR K1|SRBR K2|SRBR K3|SRBR K4|SRBR K5|SRBR K6|SRBR K7|SRBR K8","SRBR K1","PMR K1"
"10","SORMLAND","SK5UM.2m.ana|SK5UM.70.ana|SK5AS.ana|SK5AS2M.ana|SK5RLZ.ana|SK5LW.2m.ana|SK5LW.70.ana|SK5LW 2M DMR|SK5BE.ana|SM5RVH.ana","SK5UM.2m.ana","SK5AS.ana"
"23","SM5 ANA","SK5BN RV48|SK5BN RU368|SK5AS RV59|SK5RTG.2m.ana|SK5RTG.70.ana|SK5WB.ana|SK5VM.ana|SK5LW.70.ana|SK5LW.2m.ana|SK5BN-70cm.ana|SK5UM.2m.ana|SK5UM.70.ana|SK5RLZ.ana|SK5RCQ.ana|SA5BCG.ana|SK5AS.ana|SM5YMS.ana|SM5YMS-2m.ana|SM5DWC.ana|SK5LF.ana|SM5YMT.ana|SK5AS2M.ana|SA5LKC.ana|SL5ZYT.ana|SK5BN.2m.ana|SK5BN.70.ana|SK5BE.ana|SM5RVH.ana|SM5RYI.ana|SA5BTT.ana|SK5DB.2m.ana|SK5DB.70.ana|SM5USM.ana|SK5RHQ.2m.ana|SK5RHQ.70.ana","SK5UM.70.ana","SK5BN.2m.ana"
"26","HOTSPOT","SA5LKC MMDVM|SK5BN MMDVM|SA5CMG MMDVM|SM5XAV MMDVM|SA7BRK MMDVM|SM5TSY OPENSPOT|SM5GSB MMDVM|SM5SDQ OPENSPOT|SM5KPC OPENSPOT|SG5TAH MMDVM","SA5LKC MMDVM","SA5LKC MMDVM"
